"Distrito","Ingresos_Total","Gastos_Total","Personal_Limpieza","Residuos_Solidos","Personal_Vigilancia"
"CAJAMARQUILLA",1408306.18,1015066.87,0,250,0
"CARHUAPAMPA",1981285,1443424.05,0,210,0
"COCHAS",3652301.84,1806393.86,0,333,0
"CONGAS",2460370.06,2031494.74,0,611,0
"LLIPA",1494138.59,1176587.43,0,50,0
"SAN CRISTOBAL DE RAJAN",1995788.9,1767984.15,0,100,0
"SAN PEDRO",5233642.74,4542159.96,0,500,0
"SANTIAGO DE CHILCAS",4549813,4183613.34,0,368,0
"CABANA",16032231.13,14679115.95,4,2019,1
"BOLOGNESI",2698979.12,2278039.37,0,500,2
"CONCHUCOS",27926597.37,8142238.59,1,2650,0
"HUACASCHUQUE",1786532.7,1426388.21,0,80,0
"HUANDOVAL",1877388.74,1770166.1,0,435,0
"LACABAMBA",4591057.88,4522678.02,2,600,0
"LLAPO",6351895.84,6169718.19,2,200,0
"PALLASCA",3816256.11,4575114.47,0,1300,0
"PAMPAS",22194511.37,14263663.4,2,3000,0
"SANTA ROSA",1150856.78,842761.42,0,800,0
"TAUCA",2674434.99,2490668.56,0,1453,0
"POMABAMBA",38361723.98,33468283.37,0,15000,0
"HUAYLLAN",5310696.1,2859251.89,0,285,0
"PAROBAMBA",13221040.73,11416675.21,0,500,1
"QUINUABAMBA",5290161.88,3280148.55,0,800,0
"RECUAY",26077395.23,26240431.28,0,2581,0
"CATAC",5659865.15,4731543.53,0,1600,0
"COTAPARACO",1331480.43,906313.31,3,170,0
"HUAYLLAPAMPA",3001464.61,3543639.16,0,400,0
"LLACLLIN",3279565.54,1878130.83,1,60,0
"MARCA",6762796.25,5258376.95,1,600,0
"PAMPAS CHICO",2043619.97,1354890.28,0,200,0
"PARARIN",7142325.46,4696193.32,0,70,0
"TAPACOCHA",1731310.87,2124976.26,0,300,0
"TICAPAMPA",3862252.26,3006356.66,0,160,0
"CHIMBOTE",366431327.99,184186577.28,392,320000,283
"CACERES DEL PERU",14566282.35,9169153.09,12,300,0
"COISHCO",29545380.4,28188471.41,21,12000,11
"MACATE",16887315.4,16597752.71,5,350,0
"MORO",26552949.87,20718666.35,25,6917,3
"NEPEÑA",19328443.63,17078186.26,46,13000,31
"SAMANCO",14658605.18,9659961.79,12,1736,0
"SANTA",29024649.42,26305655.76,40,15000,31
"NUEVO CHIMBOTE",257473316.41,160727707.1,282,170000,105
"SIHUAS",28324262.6,25543706.56,0,4000,0
"ACOBAMBA",2787717.41,2408445.37,0,25,0
"ALFONSO UGARTE",1663005.69,2393301.83,2,550,0
"CASHAPAMPA",6998360.21,6521439.51,5,25,1
"CHINGALPO",9070044.44,8738771.58,0,200,0
"HUAYLLABAMBA",6775157.62,8666394.59,0,180,0
"QUICHES",8356376.93,11348776.76,0,200,0
"RAGASH",7856795.23,6903141.81,0,100,0
"SAN JUAN",24678092.6,23597642.7,6,1100,4
"SICSIBAMBA",2200775.94,4423613.18,0,100,2
"YUNGAY",35294280.27,35102619.6,0,1362,0
"CASCAPARA",2638267.65,2233935.79,1,60,0
"MANCOS",9324319.69,6251705.74,8,851,0
"MATACOTO",2559964.93,1982789.35,0,80,0
"QUILLO",32480968.12,24754315,1,3070,0
"RANRAHIRCA",4608947.15,4399390.42,0,2740,1
"SHUPLUY",6588637.4,5941462.69,1,350,0
"YANAMA",13826634.63,12380082.92,1,1500,0
"ABANCAY",76419523.22,48399933.9,19,89310,1
"CHACOCHE",2393526.79,2156578.51,1,800,1
"CIRCA",6083893.48,5373726.3,0,5,0
"CURAHUASI",29950991.12,34254480.94,0,4000,0
